From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology IDs	Gene Ontology (cellular component)	Gene Ontology (molecular function)
A0A075B6K5	A0A075B6K5	reviewed	LV39_HUMAN	Immunoglobulin lambda variable 3-9	IGLV3-9	Homo sapiens (Human)	115	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A075B6K6	A0A075B6K6	reviewed	LV403_HUMAN	Immunoglobulin lambda variable 4-3	IGLV4-3	Homo sapiens (Human)	122	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A075B6P5	A0A075B6P5	reviewed	KV228_HUMAN	Immunoglobulin kappa variable 2-28	IGKV2-28	Homo sapiens (Human)	120	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
P01615	P01615	reviewed	KVD28_HUMAN	Immunoglobulin kappa variable 2D-28 (Ig kappa chain V-II region FR) (Ig kappa chain V-II region GM607) (Ig kappa chain V-II region MIL) (Ig kappa chain V-II region TEW)	IGKV2D-28	Homo sapiens (Human)	120	adaptive immune response [GO:0002250]; immune response [GO:0006955]	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0003823; GO:0005576; GO:0005886; GO:0006955; GO:0019814; GO:0070062; GO:0072562	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]
A0A075B6Q5	A0A075B6Q5	reviewed	HV364_HUMAN	Immunoglobulin heavy variable 3-64	IGHV3-64	Homo sapiens (Human)	118	immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]
A0A075B6R2	A0A075B6R2	reviewed	HV404_HUMAN	Immunoglobulin heavy variable 4-4	IGHV4-4	Homo sapiens (Human)	117	immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]
A0A075B6S2	A0A075B6S2	reviewed	KVD29_HUMAN	Immunoglobulin kappa variable 2D-29	IGKV2D-29	Homo sapiens (Human)	120	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A075B6S5	A0A075B6S5	reviewed	KV127_HUMAN	Immunoglobulin kappa variable 1-27	IGKV1-27	Homo sapiens (Human)	117	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A075B6S6	A0A075B6S6	reviewed	KVD30_HUMAN	Immunoglobulin kappa variable 2D-30	IGKV2D-30	Homo sapiens (Human)	120	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A075B6S9	A0A075B6S9	reviewed	KV137_HUMAN	Probable non-functional immunoglobulinn kappa variable 1-37	IGKV1-37	Homo sapiens (Human)	117	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
P0DSN7	P0DSN7	reviewed	KVD37_HUMAN	Probable non-functional immunoglobulinn kappa variable 1D-37	IGKV1D-37	Homo sapiens (Human)	117	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A087WSX0	A0A087WSX0	reviewed	LV545_HUMAN	Immunoglobulin lambda variable 5-45	IGLV5-45	Homo sapiens (Human)	123	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A087WSY4	A0A087WSY4	reviewed	HV432_HUMAN	Immunoglobulin heavy variable 4-30-2	IGHV4-30-2	Homo sapiens (Human)	118	immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]
A0A087WSY6	A0A087WSY6	reviewed	KVD15_HUMAN	Immunoglobulin kappa variable 3D-15	IGKV3D-15	Homo sapiens (Human)	115	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A087WSZ0	A0A087WSZ0	reviewed	KVD08_HUMAN	Immunoglobulin kappa variable 1D-8	IGKV1D-8	Homo sapiens (Human)	117	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A087WW87	A0A087WW87	reviewed	KV240_HUMAN	Immunoglobulin kappa variable 2-40	IGKV2-40	Homo sapiens (Human)	121	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
P01614	P01614	reviewed	KVD40_HUMAN	Immunoglobulin kappa variable 2D-40 (Ig kappa chain V-II region Cum)	IGKV2D-40	Homo sapiens (Human)	121	adaptive immune response [GO:0002250]; immune response [GO:0006955]	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0003823; GO:0005576; GO:0005886; GO:0006955; GO:0019814; GO:0070062; GO:0072562	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]
A0A0A0MRZ9	A0A0A0MRZ9	reviewed	LV552_HUMAN	Immunoglobulin lambda variable 5-52	IGLV5-52	Homo sapiens (Human)	124	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A0A0MS14	A0A0A0MS14	reviewed	HV145_HUMAN	Immunoglobulin heavy variable 1-45	IGHV1-45	Homo sapiens (Human)	117	immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]
A0A0A0MS15	A0A0A0MS15	reviewed	HV349_HUMAN	Immunoglobulin heavy variable 3-49	IGHV3-49	Homo sapiens (Human)	119	immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]
A0A0A0MT89	A0A0A0MT89	reviewed	KJ01_HUMAN	Immunoglobulin kappa joining 1	IGKJ1	Homo sapiens (Human)	12	adaptive immune response [GO:0002250]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]	GO:0002250; GO:0005576; GO:0005886; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A0B4J1U3	A0A0B4J1U3	reviewed	LV136_HUMAN	Immunoglobulin lambda variable 1-36	IGLV1-36	Homo sapiens (Human)	117	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A0B4J1U7	A0A0B4J1U7	reviewed	HV601_HUMAN	Immunoglobulin heavy variable 6-1	IGHV6-1	Homo sapiens (Human)	121	immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]
A0A0B4J1V0	A0A0B4J1V0	reviewed	HV315_HUMAN	Immunoglobulin heavy variable 3-15	IGHV3-15	Homo sapiens (Human)	119	immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]
A0A0B4J1V1	A0A0B4J1V1	reviewed	HV321_HUMAN	Immunoglobulin heavy variable 3-21	IGHV3-21	Homo sapiens (Human)	117	immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]
A0A0B4J1V2	A0A0B4J1V2	reviewed	HV226_HUMAN	Immunoglobulin heavy variable 2-26	IGHV2-26	Homo sapiens (Human)	119	immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]
A0A0B4J1V6	A0A0B4J1V6	reviewed	HV373_HUMAN	Immunoglobulin heavy variable 3-73	IGHV3-73	Homo sapiens (Human)	119	immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]
A0A0B4J1X5	A0A0B4J1X5	reviewed	HV374_HUMAN	Immunoglobulin heavy variable 3-74	IGHV3-74	Homo sapiens (Human)	117	immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]
A0A0B4J1X8	A0A0B4J1X8	reviewed	HV343_HUMAN	Immunoglobulin heavy variable 3-43	IGHV3-43	Homo sapiens (Human)	118	immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]
A0A0B4J1Y8	A0A0B4J1Y8	reviewed	LV949_HUMAN	Immunoglobulin lambda variable 9-49	IGLV9-49	Homo sapiens (Human)	123	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A0B4J1Y9	A0A0B4J1Y9	reviewed	HV372_HUMAN	Immunoglobulin heavy variable 3-72	IGHV3-72	Homo sapiens (Human)	119	immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]
A0A0B4J1Z2	A0A0B4J1Z2	reviewed	KVD43_HUMAN	Immunoglobulin kappa variable 1D-43	IGKV1D-43	Homo sapiens (Human)	117	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A0B4J2D9	A0A0B4J2D9	reviewed	KVD13_HUMAN	Immunoglobulin kappa variable 1D-13	IGKV1D-13	Homo sapiens (Human)	117	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
P0DP09	P0DP09	reviewed	KV113_HUMAN	Immunoglobulin kappa variable 1-13	IGKV1-13	Homo sapiens (Human)	117	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A0B4J2H0	A0A0B4J2H0	reviewed	HV69D_HUMAN	Immunoglobulin heavy variable 1-69D	IGHV1-69D	Homo sapiens (Human)	117	immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]
A0A0C4DH24	A0A0C4DH24	reviewed	KV621_HUMAN	Immunoglobulin kappa variable 6-21	IGKV6-21	Homo sapiens (Human)	114	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A0C4DH25	A0A0C4DH25	reviewed	KVD20_HUMAN	Immunoglobulin kappa variable 3D-20	IGKV3D-20	Homo sapiens (Human)	116	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A0C4DH26	A0A0C4DH26	reviewed	KVD41_HUMAN	Probable non-functional immunoglobulin kappa variable 6D-41	IGKV6D-41	Homo sapiens (Human)	115	adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005886; GO:0006955; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	
A0A0C4DH29	A0A0C4DH29	reviewed	HV103_HUMAN	Immunoglobulin heavy variable 1-3	IGHV1-3	Homo sapiens (Human)	117	immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]
A0A0C4DH31	A0A0C4DH31	reviewed	HV118_HUMAN	Immunoglobulin heavy variable 1-18	IGHV1-18	Homo sapiens (Human)	117	immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]
